,id,season,season_type,away_team_abbr,home_team_abbr,api_feed_link
0,706843,2022,S,Chicago White Sox,San Diego Padres,/api/v1.1/game/706843/feed/live
0,706908,2022,S,Kansas City Royals,Milwaukee Brewers,/api/v1.1/game/706908/feed/live
0,707044,2022,S,Cleveland Guardians,Arizona Diamondbacks,/api/v1.1/game/707044/feed/live
0,706834,2022,S,Oakland Athletics,San Francisco Giants,/api/v1.1/game/706834/feed/live
0,706966,2022,S,Cleveland Guardians,Colorado Rockies,/api/v1.1/game/706966/feed/live
0,706921,2022,S,Los Angeles Angels,Los Angeles Dodgers,/api/v1.1/game/706921/feed/live
0,706810,2022,S,Philadelphia Phillies,Tampa Bay Rays,/api/v1.1/game/706810/feed/live
0,707079,2022,S,Baltimore Orioles,Detroit Tigers,/api/v1.1/game/707079/feed/live
0,663178,2022,R,Milwaukee Brewers,Chicago Cubs,/api/v1.1/game/663178/feed/live
0,662766,2022,R,Cleveland Guardians,Kansas City Royals,/api/v1.1/game/662766/feed/live
0,662021,2022,R,Pittsburgh Pirates,St. Louis Cardinals,/api/v1.1/game/662021/feed/live
0,662571,2022,R,New York Mets,Washington Nationals,/api/v1.1/game/662571/feed/live
0,661577,2022,R,Cincinnati Reds,Atlanta Braves,/api/v1.1/game/661577/feed/live
0,661042,2022,R,Houston Astros,Los Angeles Angels,/api/v1.1/game/661042/feed/live
0,663418,2022,R,San Diego Padres,Arizona Diamondbacks,/api/v1.1/game/663418/feed/live
0,661333,2022,R,Boston Red Sox,New York Yankees,/api/v1.1/game/661333/feed/live
0,661750,2022,R,Seattle Mariners,Minnesota Twins,/api/v1.1/game/661750/feed/live
0,661333,2022,R,Boston Red Sox,New York Yankees,/api/v1.1/game/661333/feed/live
0,662888,2022,R,Chicago White Sox,Detroit Tigers,/api/v1.1/game/662888/feed/live
0,661131,2022,R,Oakland Athletics,Philadelphia Phillies,/api/v1.1/game/661131/feed/live
0,661918,2022,R,Baltimore Orioles,Tampa Bay Rays,/api/v1.1/game/661918/feed/live
0,662933,2022,R,Los Angeles Dodgers,Colorado Rockies,/api/v1.1/game/662933/feed/live
0,661750,2022,R,Seattle Mariners,Minnesota Twins,/api/v1.1/game/661750/feed/live
0,662124,2022,R,Miami Marlins,San Francisco Giants,/api/v1.1/game/662124/feed/live
0,662559,2022,R,New York Mets,Washington Nationals,/api/v1.1/game/662559/feed/live
0,661782,2022,R,Texas Rangers,Toronto Blue Jays,/api/v1.1/game/661782/feed/live
0,661576,2022,R,Cincinnati Reds,Atlanta Braves,/api/v1.1/game/661576/feed/live
0,661041,2022,R,Houston Astros,Los Angeles Angels,/api/v1.1/game/661041/feed/live
0,663417,2022,R,San Diego Padres,Arizona Diamondbacks,/api/v1.1/game/663417/feed/live
0,663147,2022,R,Milwaukee Brewers,Chicago Cubs,/api/v1.1/game/663147/feed/live
0,661917,2022,R,Baltimore Orioles,Tampa Bay Rays,/api/v1.1/game/661917/feed/live
0,662864,2022,R,Chicago White Sox,Detroit Tigers,/api/v1.1/game/662864/feed/live
0,661756,2022,R,Seattle Mariners,Minnesota Twins,/api/v1.1/game/661756/feed/live
0,662020,2022,R,Pittsburgh Pirates,St. Louis Cardinals,/api/v1.1/game/662020/feed/live
0,663205,2022,R,Milwaukee Brewers,Chicago Cubs,/api/v1.1/game/663205/feed/live
0,661803,2022,R,Texas Rangers,Toronto Blue Jays,/api/v1.1/game/661803/feed/live
0,661130,2022,R,Oakland Athletics,Philadelphia Phillies,/api/v1.1/game/661130/feed/live
0,662123,2022,R,Miami Marlins,San Francisco Giants,/api/v1.1/game/662123/feed/live
0,661332,2022,R,Boston Red Sox,New York Yankees,/api/v1.1/game/661332/feed/live
0,662765,2022,R,Cleveland Guardians,Kansas City Royals,/api/v1.1/game/662765/feed/live
0,662588,2022,R,New York Mets,Washington Nationals,/api/v1.1/game/662588/feed/live
0,661575,2022,R,Cincinnati Reds,Atlanta Braves,/api/v1.1/game/661575/feed/live
0,662931,2022,R,Los Angeles Dodgers,Colorado Rockies,/api/v1.1/game/662931/feed/live
0,663404,2022,R,San Diego Padres,Arizona Diamondbacks,/api/v1.1/game/663404/feed/live
0,661040,2022,R,Houston Astros,Los Angeles Angels,/api/v1.1/game/661040/feed/live
0,661129,2022,R,Oakland Athletics,Philadelphia Phillies,/api/v1.1/game/661129/feed/live
0,661916,2022,R,Baltimore Orioles,Tampa Bay Rays,/api/v1.1/game/661916/feed/live
0,662887,2022,R,Chicago White Sox,Detroit Tigers,/api/v1.1/game/662887/feed/live
0,662570,2022,R,New York Mets,Washington Nationals,/api/v1.1/game/662570/feed/live
0,661573,2022,R,Cincinnati Reds,Atlanta Braves,/api/v1.1/game/661573/feed/live
0,661802,2022,R,Texas Rangers,Toronto Blue Jays,/api/v1.1/game/661802/feed/live
0,662755,2022,R,Cleveland Guardians,Kansas City Royals,/api/v1.1/game/662755/feed/live
0,661738,2022,R,Seattle Mariners,Minnesota Twins,/api/v1.1/game/661738/feed/live
0,662019,2022,R,Pittsburgh Pirates,St. Louis Cardinals,/api/v1.1/game/662019/feed/live
0,663204,2022,R,Milwaukee Brewers,Chicago Cubs,/api/v1.1/game/663204/feed/live
0,662934,2022,R,Los Angeles Dodgers,Colorado Rockies,/api/v1.1/game/662934/feed/live
0,662122,2022,R,Miami Marlins,San Francisco Giants,/api/v1.1/game/662122/feed/live
0,661039,2022,R,Houston Astros,Los Angeles Angels,/api/v1.1/game/661039/feed/live
0,663395,2022,R,San Diego Padres,Arizona Diamondbacks,/api/v1.1/game/663395/feed/live
0,661316,2022,R,Boston Red Sox,New York Yankees,/api/v1.1/game/661316/feed/live
